2015/03/02 07:59:28.245 W M,2015,03,02,08,00,16,44342,41598,406.36,40.3,7.782,17.800,990,40.1,40.7,11.7
2015/03/02 07:59:29.857 W M,2015,03,02,08,00,17,44342,41597,406.37,40.3,7.782,17.800,990,40.1,40.6,11.7
2015/03/02 07:59:31.467 W M,2015,03,02,08,00,19,44342,41596,406.43,40.3,7.782,17.800,990,40.1,40.5,11.7
2015/03/02 07:59:33.054 W M,2015,03,02,08,00,20,44342,41595,406.52,40.3,7.782,17.800,990,40.0,40.6,11.7
2015/03/02 07:59:34.648 W M,2015,03,02,08,00,22,44342,41596,406.54,40.3,7.782,17.800,990,40.1,40.6,11.7
2015/03/02 07:59:36.249 W M,2015,03,02,08,00,24,44342,41596,406.56,40.3,7.782,17.800,990,40.1,40.5,11.7
2015/03/02 07:59:36.297 A M,2015,03,02,07,53,37,44342,41598,401.61,40.3,7.733,17.080,998,40.1,40.6,11.7
2015/03/02 07:59:36.338 A M,2015,03,02,07,53,39,44342,41599,401.54,40.3,7.836,17.080,998,40.1,40.7,11.7
2015/03/02 07:59:36.379 A M,2015,03,02,07,53,40,44342,41597,401.58,40.3,7.856,17.120,998,40.1,40.6,11.7
2015/03/02 07:59:36.420 A M,2015,03,02,07,53,42,44342,41597,401.61,40.3,7.856,17.120,998,40.1,40.6,11.7
2015/03/02 07:59:36.461 A M,2015,03,02,07,53,43,44342,41596,401.68,40.4,7.856,17.120,998,40.2,40.6,11.7
2015/03/02 07:59:36.502 A M,2015,03,02,07,53,45,44342,41597,401.68,40.3,7.856,17.120,998,40.1,40.5,11.7
2015/03/02 07:59:36.544 A M,2015,03,02,07,53,47,44342,41597,401.69,40.4,7.753,17.120,998,40.2,40.6,11.7
2015/03/02 07:59:36.585 A M,2015,03,02,07,53,48,44342,41595,401.79,40.4,7.753,17.120,998,40.2,40.6,11.7
2015/03/02 07:59:36.627 A M,2015,03,02,07,53,50,44342,41596,401.81,40.4,7.753,17.120,998,40.1,40.6,11.7
2015/03/02 08:59:24.042 W M,2015,03,02,09,00,11,44342,41574,410.61,40.3,7.782,17.800,990,40.1,40.6,11.7
2015/03/02 08:59:24.977 W M,2015,03,02,09,00,12,44342,41573,410.64,40.3,7.782,17.800,990,40.1,40.5,11.7
2015/03/02 08:59:26.577 W M,2015,03,02,09,00,14,44342,41572,410.71,40.3,7.782,17.800,990,40.1,40.5,11.7
2015/03/02 08:59:28.180 W M,2015,03,02,09,00,16,44342,41572,410.76,40.3,7.803,17.840,990,40.1,40.6,11.7
2015/03/02 08:59:29.779 W M,2015,03,02,09,00,17,44342,41572,410.80,40.3,7.782,17.800,990,40.1,40.6,11.7
2015/03/02 08:59:31.390 W M,2015,03,02,09,00,19,44342,41572,410.82,40.3,7.803,17.840,990,40.1,40.6,11.7
2015/03/02 08:59:32.980 W M,2015,03,02,09,00,20,44342,41573,410.80,40.3,7.803,17.840,990,40.0,40.6,11.7
2015/03/02 08:59:34.581 W M,2015,03,02,09,00,22,44342,41574,410.74,40.3,7.803,17.840,990,40.0,40.6,11.7
2015/03/02 08:59:36.181 W M,2015,03,02,09,00,24,44342,41573,410.74,40.3,7.803,17.840,990,40.1,40.6,11.7
2015/03/02 08:59:36.230 A M,2015,03,02,08,53,37,44342,41578,406.36,40.3,7.856,17.120,998,40.1,40.6,11.7
2015/03/02 08:59:36.270 A M,2015,03,02,08,53,39,44342,41578,406.06,40.3,7.856,17.120,998,40.1,40.6,11.7
2015/03/02 08:59:36.311 A M,2015,03,02,08,53,40,44342,41578,405.85,40.3,7.856,17.120,998,40.1,40.5,11.7
2015/03/02 08:59:36.353 A M,2015,03,02,08,53,42,44342,41577,405.73,40.3,7.856,17.120,998,40.1,40.6,11.7
2015/03/02 08:59:36.394 A M,2015,03,02,08,53,43,44342,41577,405.63,40.3,7.856,17.120,998,40.0,40.6,11.7
2015/03/02 08:59:36.435 A M,2015,03,02,08,53,45,44342,41577,405.57,40.3,7.856,17.120,998,40.1,40.6,11.7
2015/03/02 08:59:36.476 A M,2015,03,02,08,53,47,44342,41578,405.48,40.3,7.856,17.120,998,40.0,40.6,11.7
2015/03/02 08:59:36.517 A M,2015,03,02,08,53,48,44342,41577,405.45,40.3,7.877,17.160,998,40.0,40.6,11.7
2015/03/02 08:59:36.558 A M,2015,03,02,08,53,50,44342,41572,405.66,40.3,7.877,17.160,998,40.1,40.6,11.7
2015/03/02 09:59:23.969 W M,2015,03,02,10,00,11,44342,41595,406.73,40.3,8.109,17.600,990,40.1,40.6,11.7
2015/03/02 09:59:24.914 W M,2015,03,02,10,00,12,44342,41593,406.83,40.3,8.109,17.600,990,40.1,40.6,11.7
2015/03/02 09:59:26.504 W M,2015,03,02,10,00,14,44342,41594,406.87,40.3,8.109,17.600,990,40.1,40.5,11.7
2015/03/02 09:59:28.105 W M,2015,03,02,10,00,16,44342,41594,406.89,40.3,8.109,17.600,990,40.1,40.6,11.7
2015/03/02 09:59:29.706 W M,2015,03,02,10,00,17,44342,41595,406.86,40.3,8.109,17.600,990,40.0,40.6,11.7
2015/03/02 09:59:31.307 W M,2015,03,02,10,00,19,44342,41594,406.89,40.3,8.109,17.600,990,40.1,40.6,11.7
2015/03/02 09:59:32.907 W M,2015,03,02,10,00,20,44342,41596,406.82,40.3,8.130,17.640,990,40.1,40.5,11.7
2015/03/02 09:59:34.518 W M,2015,03,02,10,00,22,44342,41597,406.72,40.3,8.109,17.600,990,40.1,40.7,11.7
2015/03/02 09:59:36.108 W M,2015,03,02,10,00,24,44342,41595,406.74,40.3,8.130,17.640,990,40.0,40.6,11.7
2015/03/02 09:59:36.156 A M,2015,03,02,09,53,37,44342,41581,404.61,40.3,8.180,16.960,998,40.1,40.6,11.7
2015/03/02 09:59:36.197 A M,2015,03,02,09,53,39,44342,41580,404.66,40.3,8.180,16.960,998,40.1,40.6,11.7
2015/03/02 09:59:36.239 A M,2015,03,02,09,53,40,44342,41580,404.69,40.3,8.180,16.960,998,40.0,40.6,11.7
2015/03/02 09:59:36.280 A M,2015,03,02,09,53,42,44342,41582,404.63,40.3,8.180,16.960,998,40.1,40.7,11.7
2015/03/02 09:59:36.321 A M,2015,03,02,09,53,43,44342,41584,404.49,40.3,8.180,16.960,998,40.1,40.6,11.7
2015/03/02 09:59:36.362 A M,2015,03,02,09,53,45,44342,41583,404.43,40.4,8.180,16.960,998,40.1,40.7,11.7
2015/03/02 09:59:36.403 A M,2015,03,02,09,53,47,44342,41589,404.11,40.3,8.180,16.960,998,40.1,40.6,11.7
2015/03/02 09:59:36.444 A M,2015,03,02,09,53,48,44342,41591,403.78,40.3,8.180,16.960,998,40.1,40.5,11.7
2015/03/02 09:59:36.485 A M,2015,03,02,09,53,50,44342,41590,403.59,40.3,8.180,16.960,998,40.1,40.6,11.7
2015/03/02 10:59:23.896 W M,2015,03,02,11,00,11,44342,41549,414.92,40.3,8.045,17.480,990,40.1,40.6,11.7
2015/03/02 10:59:24.918 W M,2015,03,02,11,00,13,44342,41550,414.91,40.3,8.045,17.480,990,40.1,40.5,11.7
2015/03/02 10:59:26.529 W M,2015,03,02,11,00,14,44342,41551,414.85,40.3,8.045,17.480,990,40.1,40.5,11.7
2015/03/02 10:59:28.119 W M,2015,03,02,11,00,16,44342,41550,414.86,40.3,8.045,17.480,990,40.1,40.7,11.7
2015/03/02 10:59:29.720 W M,2015,03,02,11,00,17,44342,41549,414.91,40.3,8.045,17.480,990,40.1,40.6,11.7
2015/03/02 10:59:31.320 W M,2015,03,02,11,00,19,44342,41548,414.99,40.3,8.045,17.480,990,40.1,40.6,11.7
2015/03/02 10:59:32.920 W M,2015,03,02,11,00,21,44342,41548,415.06,40.3,8.045,17.480,990,40.1,40.6,11.7
2015/03/02 10:59:34.522 W M,2015,03,02,11,00,22,44342,41548,415.11,40.3,8.066,17.520,990,40.1,40.7,11.7
2015/03/02 10:59:36.122 W M,2015,03,02,11,00,24,44342,41548,415.14,40.3,8.066,17.520,990,40.1,40.6,11.7
2015/03/02 10:59:36.170 A M,2015,03,02,10,53,36,44342,41552,410.00,40.3,8.094,16.800,998,40.1,40.6,11.7
2015/03/02 10:59:36.211 A M,2015,03,02,10,53,37,44342,41551,409.96,40.3,8.094,16.800,998,40.1,40.6,11.7
2015/03/02 10:59:36.252 A M,2015,03,02,10,53,39,44342,41550,409.97,40.3,8.094,16.800,998,40.1,40.5,11.7
2015/03/02 10:59:36.293 A M,2015,03,02,10,53,40,44342,41551,409.93,40.3,8.094,16.800,998,40.1,40.6,11.7
2015/03/02 10:59:36.335 A M,2015,03,02,10,53,42,44342,41550,409.94,40.3,8.094,16.800,998,40.1,40.6,11.7
2015/03/02 10:59:36.424 A M,2015,03,02,10,53,44,44342,41548,410.05,40.3,8.094,16.800,998,40.1,40.6,11.7
2015/03/02 10:59:36.427 A M,2015,03,02,10,53,45,44342,41550,410.04,40.3,8.094,16.800,998,40.1,40.6,11.7
2015/03/02 10:59:36.458 A M,2015,03,02,10,53,47,44342,41553,409.89,40.3,8.115,16.840,998,40.1,40.7,11.7
2015/03/02 10:59:36.499 A M,2015,03,02,10,53,48,44342,41553,409.78,40.3,8.094,16.800,998,40.0,40.6,11.7
2015/03/02 11:59:23.823 W M,2015,03,02,12,00,11,44342,41570,410.84,40.3,8.237,17.640,990,40.1,40.6,11.7
2015/03/02 11:59:24.758 W M,2015,03,02,12,00,12,44342,41568,410.98,40.3,8.237,17.640,990,40.1,40.6,11.7
2015/03/02 11:59:26.358 W M,2015,03,02,12,00,14,44342,41570,411.00,40.3,8.258,17.680,990,40.1,40.5,11.7
2015/03/02 11:59:27.959 W M,2015,03,02,12,00,16,44342,41570,411.01,40.3,8.237,17.640,990,40.1,40.6,11.7
2015/03/02 11:59:29.570 W M,2015,03,02,12,00,17,44342,41569,411.06,40.3,8.237,17.640,990,40.1,40.6,11.7
2015/03/02 11:59:31.160 W M,2015,03,02,12,00,19,44342,41570,411.06,40.3,8.258,17.680,990,40.0,40.6,11.7
2015/03/02 11:59:32.763 W M,2015,03,02,12,00,20,44342,41571,411.01,40.3,8.258,17.680,990,40.1,40.6,11.7
2015/03/02 11:59:34.361 W M,2015,03,02,12,00,22,44342,41570,411.02,40.3,8.258,17.680,990,40.0,40.6,11.7
2015/03/02 11:59:35.962 W M,2015,03,02,12,00,24,44342,41571,410.98,40.3,8.258,17.680,990,40.1,40.6,11.7
2015/03/02 11:59:36.010 A M,2015,03,02,11,53,37,44342,41589,403.14,40.4,8.359,16.920,998,40.1,40.6,11.7
